brain_region_id,brain_region_name,cellinstance_cell_id,celltype_cell_name 
120,Bed nuclei of the stria terminalis posterior division transverse nucleus,306,BST large neuron
120,Bed nuclei of the stria terminalis posterior division transverse nucleus,309,BST-PVN neuron
120,Bed nuclei of the stria terminalis posterior division transverse nucleus,310,vSub/PVN neuron
120,Bed nuclei of the stria terminalis posterior division transverse nucleus,311,GAD67 neuron
120,Bed nuclei of the stria terminalis posterior division transverse nucleus,320,Pericommissural type II neuron
121,Bed nuclei of the stria terminalis posterior division premedullary nucleus,321,transitional neuron
122,Bed nuclei of the stria terminalis posterior division dorsal nucleus,302,BNSTALG Type I neuron
122,Bed nuclei of the stria terminalis posterior division dorsal nucleus,305,GALir magnocellular neurosecretory-type neuron
123,Bed nuclei of the stria terminalis posterior division strial extension,305,GALir magnocellular neurosecretory-type neuron
123,Bed nuclei of the stria terminalis posterior division strial extension,312,GAD67 BST-PVN neuron
124,Bed nuclei of the stria terminalis posterior division cell-sparse zone,305,GALir magnocellular neurosecretory-type neuron
1694,Bed nuclei of the stria terminalis, anterior division, subcommisural zone,289,class A neuron
1694,Bed nuclei of the stria terminalis, anterior division, subcommisural zone,301,BNSTAL-5HT(NR) neuron
1694,Bed nuclei of the stria terminalis, anterior division, subcommisural zone,302,BNSTALG Type I neuron
1694,Bed nuclei of the stria terminalis, anterior division, subcommisural zone,305,GALir magnocellular neurosecretory-type neuron
1694,Bed nuclei of the stria terminalis, anterior division, subcommisural zone,306,BST large neuron
1694,Bed nuclei of the stria terminalis, anterior division, subcommisural zone,307,cholinergic neuron
1694,Bed nuclei of the stria terminalis, anterior division, subcommisural zone,308,vSub-BST neuron
1694,Bed nuclei of the stria terminalis, anterior division, subcommisural zone,309,BST-PVN neuron
208,Retina,119,type 2 cone bipolar cell
208,Retina,120,type 3 cone bipolar cell
208,Retina,121,type 4 cone bipolar cell
208,Retina,122,type 5 cone bipolar cell
208,Retina,123,type 6 cone bipolar cell
208,Retina,124,type 7 cone bipolar cell
208,Retina,125,type 8 cone bipolar cell
208,Retina,126,type 9 cone bipolar cell
208,Retina,127,horizontal cell
208,Retina,128,A17 amacrine cell
208,Retina,129,preautonomic neuron spinal cord
208,Retina,131,preautonomic neuron spinal cord/vagal complex
208,Retina,132,cerebellar granule cell
208,Retina,133,superficial short axon stellate cell
208,Retina,134,deeper long axon stellate cell
208,Retina,135,candelabrum cell
208,Retina,136,L-type retinal ganglion cell
208,Retina,137,M-type retinal ganglion cell
208,Retina,138,S-type retinal ganglion cell
208,Retina,139,fast-conducting retinal ganglion cell
208,Retina,140,intermediate-conducting retinal ganglion cell
208,Retina,141,slow-conducting retinal ganglion cell
208,Retina,142,on-center retinal ganglion cell
208,Retina,143,off-center retinal ganglion cell
208,Retina,144,MTN-projecting retinal ganglion cell
208,Retina,145,cerebellar molecular layer interneuron
208,Retina,146,large ganglion cell
208,Retina,147,type 1 glycinergic retinal amacrine cell
208,Retina,148,type 2 glycinergic retinal amacrine cell
208,Retina,149,type 3 glycinergic retinal amacrine cell
208,Retina,150,type 4 glycinergic retinal amacrine cell
208,Retina,151,type 5 glycinergic retinal amacrine cell
208,Retina,152,type 6 glycinergic retinal amacrine cell
208,Retina,153,type 7 glycinergic retinal amacrine cell
208,Retina,154,wide-field amacrine cell
208,Retina,155,melanopsin-containing retinal ganglion cell
208,Retina,156,SCN-projecting retinal ganglion cell
208,Retina,157,photosensitive SCN-projecting retinal ganglion cell
208,Retina,158,TH-immunoreactive stellate amacrine cell
208,Retina,161,TH-immunoreactive displaced amacrine cell
208,Retina,162,TH-immunoreactive small amacrine cell
208,Retina,163,large THI-DA retinal cell
208,Retina,164,PNMT-immunoreactive retinal cell
208,Retina,165,1CA amacrine retinal cell
208,Retina,166,2CA amacrine retinal cell
208,Retina,167,indoleamine-accumulating amacrine cell type 1
208,Retina,168,indoleamine-accumulating amacrine cell type 2
208,Retina,169,indoleamine-accumulating amacrine cell type 3
208,Retina,17,magnocellular cell
208,Retina,170,indoleamine-accumulating amacrine cell type 4
208,Retina,171,indoleamine-accumulating amacrine cell type 5
208,Retina,172,cholinergic amacrine cell
208,Retina,173,LHA-projecting retinal ganglion cell
208,Retina,175,multipolar Lugaro cell
208,Retina,176,type I retinal bipolar cell
208,Retina,177,type II retinal bipolar cell
208,Retina,178,diffuse amacrine cell
208,Retina,179,wide-field unistratified diffuse amacrine cell
208,Retina,18,autonomic cell
208,Retina,180,unistratified retinal ganglion cell
208,Retina,181,dopamine interplexiform cell
208,Retina,182,vLGN-ipsilateral projecting retinal ganglion cell
208,Retina,183,LP-ipsilateral projecting retinal ganglion cell
208,Retina,184,vLGN/LP-ipsilateral projecting retinal ganglion cell
208,Retina,185,NPY-immunoreactive amacrine cell
208,Retina,186,displaced NPY-immunoreactive amacrine cell
208,Retina,187,ON cone bipolar cell
208,Retina,188,OFF cone bipolar cell
208,Retina,189,dLGN-ipsilateral projecting retinal ganglion cell
208,Retina,19,sensory neuron
208,Retina,190,dLGN-contralateral projecting retinal ganglion cell
208,Retina,193,SC-contralateral projecting retinal ganglion cell
